pdf_page,figure_no,species_common,height_b1,height_b2,height_b3,height_b4,height_b5,si_b1,si_b2,si_b3,si_b4,si_b5,parse_status,source,years_to_bh
124,102,Pond pine,1.1266,1.0051,-0.0367,0.678,0.0404,0.8682,1.0012,-0.0384,-0.8561,-0.0016,ok,"Figure 102. - Pond pine (Schumacher and Coile 1960) Coastal Plain of North Carolina, South Carolina, and Georgia 130 plots having 8 dominant and codominant trees on each plot Total height and age, anamorphic, logarithm equation Convert DBH age to total age by adding years according to site index (BH = 0.0)",
125,103,Eastern white pine,1.966,1,-0.024,1.8942,0,0.5086,1,-0.024,-1.8942,0,ok,"Figure 103. - Eastern white pine (Gevorkiantz 1957f, derived from Gevorkiantz and Zon 1930) Northern Wisconsin 92 plots, number of dominant and codominant trees not given Total height and total age, anamorphic, equation not given Convert DBH age to total age by adding years according to site index (BH 0.0)",
126,104,Eastern white pine,3.2425,0.798,-0.0435,52.0549,-0.7064,0.4732,1.052,-0.0168,-2.2944,-0.1984,ok,"Figure 104. - Eastern white pine (Beck 1971a, 1971b) Appalachian Mountains of Virginia, Tennessee, North Carolina, and Georgia 42 plots having 3 dominant and codominant trees on each plot Stem analysis, polymorphic. nonlinear regression Convert DBH age to total age by adding years according to site index (BH 0.0)",
127,105,Eastern white pine plantations,-0.0785,0.4143,1.1539,-1.0397,0.0379,0.6689,1.1249,1.9792,-0.1365,,too_few:9,"Figure 105. - Eastern white pine plantations (Gilmore 1968) Illinois 48 plantations, number of dominant trees not given Total height and breast height age, anamorphic, logarithm equation Site index is height at 25 years breast height age (BH 4.5)",
128,106,Eastern white pine plantations,,,,,,,,,,,too_few:0,"Figure 106. - Eastern white pine plantations (Hannah 1971) Vermont 75 plots having 2 to 4 dominant trees on each plot Total height and plantation age, anamorphic, logarithm equation Site index is total height at 30 years plantation Add 9 years to DBH age to obtain plantation age (BH H 1.5269 Sl 0.6457 0.9955 0.00048 -0.0550 1.9118 1.0096 -0.0564 -2.0691 -0.0119 0.98 0.98 0.0)",9
129,107,Eastern white pine plantations,1.4638,0.9979,-0.0743,2.246,-0.004,0.659,1.0117,-0.0744,-2.5813,-0.0423,ok,"Figure 107. - Eastern white pine plantations (Vimmerstedt 1959, 1962) Southern Appalachian Mountains of North Carolina, Tennessee, and Georgia I I I plots having 5 to 6 dominant and codominant trees on each plot Total height and age, anamorphic, logarithm equation Site index is total height at 25 years plantation age Convert DBH age to total age by adding years according to site index (BH - 0.0)",
130,108,Scotch pine plantations,1.2096,1.0027,-0.0671,1.2282,0.0335,0.9618,0.9587,-0.069,-0.7625,0.1719,ok,"Figure 108. - Scotch pine plantations (Hannah 1971) Vermont 31 plots having 2 to 4 dominant trees on each pbt Total height and plantation age, anamorphic, bgarithm equation Site index is total height at 30 years plantation age Add 5 years to DBH age to obtain plantation age (BH 0.0)",5
131,109,Loblolly pine,1.1727,1.0042,-0.0439,1.3558,0.024,0.8765,0.9902,-0.0447,-1.2443,0.0502,ok,"Figure 109. - Loblolly pine (USDA 1929) Southern States 146 plots, number of dominants not given Total height and total age, anamorphic, equation not given Convert DBH age to total age by adding years according to site index (BH = 0.0)",
132,110,LobIoIly pine,1.1421,1.0042,-0.0374,0.7632,0.0358,0.8485,1.0038,-0.0389,-1.0031,-0.0145,ok,"Figure I I0. - LobIoIly pine (Schumacher and Coile 1960, Coile and Schumacher 1964) Coastal Plain from Chesapeake Bay, Maryland to Mobile Bay, Alabama 420 plots having 8 dominant and codominant trees on each plot Total height and total age, anamorphic, logarithm equation Convert DBH age to total age by adding years according to site index (BH 0.0)",
133,111,Loblolly pine,3.0849,0.8076,-0.0341,26.2342,-0.6702,0.5694,1.0415,-0.0204,-1.4874,-0.1242,ok,"Figure 1 1 1. - Loblolly pine (Trousdell, Beck, and Lloyd 1974) Coastal Plain of Virginia, North Carolina, and South Carolina 22 plots having 2 dominant and codominant trees on each plot Stem analysis, polymorphic, nonlinear regression Convert DBH age to total age by adding years according to site index (BH 0.0)",
134,112,LobloIIy pine,1.1643,0.9999,1.0165,1.1057,-0.0002,0.7973,-0.0413,-0.0408,-1.6634,-0.0974,ok,"Figure 112. - LobloIIy pine (Zahner 1962) North Louisiana and southern Arkansas 211 plots on poorly aerated soils, number of dominant and codominant trees not given, additional site index curves given for loess soils and well-aerated soils Total height and total age, anamorphic, age coefficient from soil-site regression Convert DBH age to total age by adding years according to site index (BH 0.0)",
135,108,Scotch pine plantations,0.9618,0.9587,-0.069,-0.7625,0.1719,1.0027,-0.0671,1.2282,0.0335,,too_few:9,"Figure 108. - Scotch pine plantations (Hannah 1971) Vermont 31 plots having 2 to 4 dominant trees on each plot Total height and plantation age, anamorphic, logarithm equation Site index is total height at 30 years plantation age Add 5 years to DBH age to obtain plantation age (BH 0.0)",5
136,113,LobIoIIy pine plantations,1.1579,1,-0.093,1.4274,0.0001,0.915,0.9936,-0.1123,-1.5988,0.0347,ok,"Figure 113. - LobIoIIy pine plantations (Shipman 1960) South Carolina Piedmont 220 plantations, number of dominant trees not given Total height and plantation age, anamorphic, logarithm equation Site index is total height at 25 years plantation age Convert DBH age to plantation age by adding years according to site index (BH 0.0)",
137,114,Aobblly pine plantations,2.9579,0.8274,-0.0581,9.3221,-0.4616,0.1483,1.256,-0.0155,-2.5747,-0.299,ok,"Figure 114.Aobblly pine plantations (Clutter and Lenhart 1968) Georgia Piedmont 141 dominant and codominant trees, number of plots not given Stem analysis, polymorphic, nonlinear regression Site index is total height at 25 years plantation age Convert DBH age to plantation age by adding years according to site index (BH 0.0)",
138,115,Loblolly pine plantations--Piedmont,1.006,1.1098,1.0028,0.5548,0.2433,0.8459,-0.0535,-0.1241,-1.4067,0.2398,ok,"Figure 115. - Loblolly pine plantations--Piedmont (Amateis and Burkhart 1985) Piedmont throughout most of natural range 68 plots, cutover and site prepared land. 1 dominant and 1 codominant tree on each plot Stem analysis, differential equation, polymorphic Site index is total height at 25 years since planting Convert DBH age to age since planting by adding years according to site index (BH - 0.0)",
